<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
1997.06.22	1.65680	1.67350	1.65220	1.66350	10775	0	50
1997.06.29	1.66370	1.69380	1.64900	1.68700	12755	0	50
1997.07.06	1.68870	1.70020	1.68000	1.68830	11565	0	50
1997.07.13	1.68770	1.69400	1.66380	1.67850	13415	0	50
1997.07.20	1.67810	1.68760	1.65970	1.66240	11125	0	50
1997.07.27	1.66150	1.66330	1.62300	1.63190	12545	0	50
1997.08.03	1.63110	1.63530	1.56630	1.58950	19865	0	50
1997.08.10	1.58600	1.61260	1.57110	1.61030	11975	0	50
1997.08.17	1.61000	1.61550	1.58430	1.60940	13915	0	50
1997.08.24	1.60880	1.62560	1.60080	1.62330	12285	0	50
1997.08.31	1.61400	1.61660	1.57670	1.59350	12695	0	50
1997.09.07	1.58950	1.61190	1.57900	1.60800	11005	0	50
1997.09.14	1.60160	1.61830	1.58690	1.61160	13205	0	50
1997.09.21	1.61050	1.63050	1.59930	1.60800	11155	0	50
1997.09.28	1.61300	1.62300	1.59850	1.61700	11895	0	50
1997.10.05	1.61450	1.63100	1.61020	1.62370	9315	0	50
1997.10.12	1.62180	1.62700	1.61180	1.61730	8545	0	50
1997.10.19	1.62880	1.64040	1.62550	1.63300	9815	0	50
1997.10.26	1.63430	1.68820	1.63300	1.67480	16235	0	50
1997.11.02	1.67800	1.69700	1.67030	1.68900	13145	0	50
1997.11.09	1.68500	1.71550	1.67820	1.69350	12685	0	50
1997.11.16	1.68980	1.69940	1.68340	1.69400	10185	0	50
1997.11.23	1.68950	1.69660	1.66690	1.68900	10395	0	50
1997.11.30	1.68960	1.69070	1.64940	1.66000	10705	0	50
1997.12.07	1.65830	1.66580	1.64270	1.65150	10935	0	50
1997.12.14	1.64750	1.67680	1.62640	1.67040	13615	0	50
1997.12.21	1.66830	1.67950	1.65750	1.67640	9425	0	50
1997.12.28	1.67800	1.68000	1.63450	1.64550	8035	0	50
1998.01.04	1.64090	1.64750	1.60920	1.61330	1398	0	50
1998.01.11	1.61200	1.64020	1.60900	1.62890	1082	0	50
1998.01.18	1.63500	1.67510	1.61940	1.67280	1326	0	50
1998.01.25	1.67550	1.68700	1.63000	1.63460	1618	0	50
1998.02.01	1.63080	1.66090	1.62400	1.64110	1232	0	50
1998.02.08	1.64240	1.64580	1.62050	1.64170	1215	0	50
1998.02.15	1.64170	1.64500	1.62670	1.63750	1045	0	50
1998.02.22	1.63630	1.65250	1.63100	1.64420	1115	0	50
1998.03.01	1.64480	1.66300	1.62790	1.63920	1257	0	50
1998.03.08	1.63750	1.67520	1.63210	1.67170	1044	0	50
1998.03.15	1.67230	1.67830	1.65960	1.66800	837	0	50
1998.03.22	1.66800	1.69000	1.66470	1.68320	941	0	50
1998.03.29	1.68330	1.68630	1.65500	1.65920	1126	0	50
1998.04.05	1.65800	1.68100	1.65460	1.67350	992	0	50
1998.04.12	1.67320	1.69820	1.66420	1.68430	1154	0	50
1998.04.19	1.68420	1.68700	1.65800	1.66770	1135	0	50
1998.04.26	1.66780	1.67820	1.65820	1.66600	38845	0	50
1998.05.03	1.66250	1.67140	1.63300	1.63960	31612	0	50
1998.05.10	1.63610	1.64470	1.61940	1.62620	31048	0	50
1998.05.17	1.62210	1.63620	1.61520	1.63100	26310	0	50
1998.05.24	1.63130	1.64550	1.62070	1.63100	30074	0	50
1998.05.31	1.63250	1.65100	1.62700	1.63520	46315	0	50
1998.06.07	1.63400	1.64000	1.62500	1.63240	68722	0	50
1998.06.14	1.62980	1.67930	1.62600	1.67480	65761	0	50
1998.06.21	1.67200	1.67770	1.65700	1.66190	60274	0	50
1998.06.28	1.65990	1.67310	1.64460	1.64750	53140	0	50
1998.07.05	1.64140	1.65000	1.62670	1.63290	46986	0	50
1998.07.12	1.63050	1.64700	1.62880	1.64500	43786	0	50
1998.07.19	1.64550	1.66230	1.63700	1.65700	41874	0	50
1998.07.26	1.65700	1.66240	1.62950	1.63270	31136	0	50
1998.08.02	1.63400	1.64210	1.62120	1.62930	42438	0	50
1998.08.09	1.62850	1.63750	1.61470	1.61920	44532	0	50
1998.08.16	1.61920	1.64040	1.60750	1.63680	44767	0	50
1998.08.23	1.63550	1.68520	1.63250	1.68110	42011	0	50
1998.08.30	1.68270	1.69040	1.66040	1.67050	33025	0	50
1998.09.06	1.66930	1.69500	1.65000	1.67280	34217	0	50
1998.09.13	1.67050	1.69440	1.66800	1.68350	85027	0	50
1998.09.20	1.67840	1.70860	1.67050	1.69600	78708	0	50
1998.09.27	1.69750	1.71850	1.69150	1.69920	67309	0	50
1998.10.04	1.70000	1.73670	1.67650	1.71010	72290	0	50
1998.10.11	1.70000	1.71280	1.68620	1.70270	73240	0	50
1998.10.18	1.70230	1.71200	1.68590	1.68760	69526	0	50
1998.10.25	1.68500	1.68890	1.66200	1.67550	60636	0	50
1998.11.01	1.67600	1.67890	1.64970	1.66030	57378	0	50
1998.11.08	1.65750	1.67100	1.65140	1.66300	50402	0	50
1998.11.15	1.66330	1.68060	1.65020	1.65630	46275	0	50
1998.11.22	1.65610	1.66550	1.64400	1.65130	55150	0	50
1998.11.29	1.65370	1.67350	1.64240	1.66620	59248	0	50
1998.12.06	1.66090	1.69230	1.64630	1.69180	66694	0	50
1998.12.13	1.68690	1.69500	1.66620	1.67960	61720	0	50
1998.12.20	1.68350	1.68700	1.66960	1.67190	36631	0	50
1998.12.27	1.67390	1.68600	1.65210	1.66090	30262	0	50
1999.01.03	1.66860	1.67200	1.63570	1.64050	27298	0	50
1999.01.10	1.63980	1.66460	1.62330	1.65020	29254	0	50
1999.01.17	1.64910	1.66260	1.64190	1.65650	24839	0	50
1999.01.24	1.65510	1.66280	1.64190	1.64500	24037	0	50
1999.01.31	1.64690	1.64810	1.62980	1.63310	25714	0	50
1999.02.07	1.63270	1.64130	1.61880	1.63500	25464	0	50
1999.02.14	1.63450	1.63950	1.62020	1.62200	22796	0	50
1999.02.21	1.62250	1.62660	1.59520	1.60380	23201	0	50
1999.02.28	1.59970	1.62250	1.59520	1.60500	22499	0	50
1999.03.07	1.60130	1.64290	1.60040	1.63190	24657	0	50
1999.03.14	1.63080	1.63320	1.61750	1.62830	23586	0	50
1999.03.21	1.62820	1.64800	1.61740	1.62310	24877	0	50
1999.03.28	1.62270	1.62430	1.60120	1.60370	18064	0	50
1999.04.04	1.60370	1.61210	1.58410	1.60870	21506	0	50
1999.04.11	1.60720	1.62100	1.60310	1.61330	23579	0	50
1999.04.18	1.61240	1.62390	1.60420	1.61550	23984	0	50
1999.04.25	1.61340	1.62220	1.60600	1.60950	24269	0	50
1999.05.02	1.60970	1.64350	1.60630	1.62960	27272	0	50
1999.05.09	1.62970	1.63530	1.61370	1.61900	23587	0	50
1999.05.16	1.62120	1.62570	1.60030	1.60060	24449	0	50
1999.05.23	1.60150	1.60550	1.58820	1.60140	23003	0	50
1999.05.30	1.60290	1.61410	1.59850	1.61030	24159	0	50
1999.06.06	1.61020	1.61810	1.59820	1.61680	25663	0	50
1999.06.13	1.61420	1.61650	1.58550	1.59610	30331	0	50
1999.06.20	1.59450	1.59610	1.57400	1.58620	27745	0	50
1999.06.27	1.58670	1.58750	1.56930	1.57870	24130	0	50
1999.07.04	1.57820	1.57890	1.54700	1.54870	23067	0	50
1999.07.11	1.55000	1.57030	1.54830	1.56190	24098	0	50
1999.07.18	1.56300	1.58740	1.55700	1.57760	23016	0	50
1999.07.25	1.57820	1.62560	1.57820	1.62150	24185	0	50
1999.08.01	1.62030	1.62830	1.60760	1.60840	28657	0	50
1999.08.08	1.60930	1.61900	1.60110	1.60450	25617	0	50
1999.08.15	1.60600	1.62220	1.59550	1.61530	27141	0	50
1999.08.22	1.61560	1.61850	1.58320	1.58800	26725	0	50
1999.08.29	1.58920	1.61570	1.58550	1.60200	26500	0	50
1999.09.05	1.60320	1.63750	1.59940	1.61850	29659	0	50
1999.09.12	1.61990	1.62670	1.59860	1.62350	30795	0	50
1999.09.19	1.62290	1.64700	1.61950	1.64180	30287	0	50
1999.09.26	1.64170	1.65720	1.63940	1.65480	27580	0	50
1999.10.03	1.65490	1.66030	1.64730	1.65250	27986	0	50
1999.10.10	1.65150	1.67270	1.64940	1.66750	27075	0	50
1999.10.17	1.66900	1.67950	1.65320	1.65390	29401	0	50
1999.10.24	1.65680	1.66500	1.63260	1.64290	31570	0	50
1999.10.31	1.64410	1.65190	1.61580	1.61850	32277	0	50
1999.11.07	1.62280	1.62930	1.61000	1.61600	27523	0	50
1999.11.14	1.61480	1.62900	1.61210	1.61890	29476	0	50
1999.11.21	1.61950	1.62760	1.60200	1.60690	30924	0	50
1999.11.28	1.60580	1.60860	1.59110	1.60220	30299	0	50
1999.12.05	1.60170	1.63120	1.59910	1.62150	27571	0	50
1999.12.12	1.62240	1.62610	1.60220	1.60400	26616	0	50
1999.12.19	1.60620	1.62300	1.60190	1.61510	26455	0	50
1999.12.26	1.61610	1.62130	1.61120	1.61540	16151	0	50
2000.01.02	1.61460	1.65110	1.61380	1.63940	28316	0	50
2000.01.09	1.63870	1.65090	1.63130	1.63530	31810	0	50
2000.01.16	1.63450	1.65810	1.62970	1.64880	31073	0	50
2000.01.23	1.64640	1.65600	1.61550	1.61950	30813	0	50
2000.01.30	1.62210	1.62610	1.58300	1.59160	34539	0	50
2000.02.06	1.59100	1.61770	1.58700	1.59440	38729	0	50
2000.02.13	1.59300	1.61400	1.58420	1.60210	34921	0	50
2000.02.20	1.60010	1.61960	1.58850	1.59490	35054	0	50
2000.02.27	1.59050	1.60230	1.57510	1.57750	36694	0	50
2000.03.05	1.57970	1.58770	1.56920	1.57680	34606	0	50
2000.03.12	1.57730	1.58330	1.56780	1.57630	36820	0	50
2000.03.19	1.57540	1.59570	1.56140	1.59560	37111	0	50
2000.03.26	1.59290	1.60080	1.58110	1.59110	37404	0	50
2000.04.02	1.59120	1.60820	1.57750	1.57940	32157	0	50
2000.04.09	1.57990	1.59330	1.57660	1.58800	32513	0	50
2000.04.16	1.58920	1.59460	1.57470	1.57760	31514	0	50
2000.04.23	1.57670	1.58260	1.55050	1.55210	34319	0	50
2000.04.30	1.55350	1.56730	1.52450	1.53030	32485	0	50
2000.05.07	1.52790	1.53710	1.49280	1.51610	40413	0	50
2000.05.14	1.52240	1.52300	1.47530	1.48850	35374	0	50
2000.05.21	1.48620	1.49670	1.46640	1.49000	39484	0	50
2000.05.28	1.48880	1.51290	1.48580	1.51010	34562	0	50
2000.06.04	1.51030	1.53140	1.50080	1.51010	38437	0	50
2000.06.11	1.50850	1.51820	1.49520	1.51520	37747	0	50
2000.06.18	1.51470	1.52030	1.49440	1.49940	38208	0	50
2000.06.25	1.50110	1.52120	1.49360	1.51730	37164	0	50
2000.07.02	1.51680	1.51970	1.50400	1.51310	35844	0	50
2000.07.09	1.51510	1.51960	1.49680	1.50210	37650	0	50
2000.07.16	1.50060	1.52010	1.49040	1.51700	37004	0	50
2000.07.23	1.51760	1.52230	1.49870	1.50230	34680	0	50
2000.07.30	1.50280	1.50800	1.48270	1.50540	33482	0	50
2000.08.06	1.50460	1.51430	1.49470	1.50230	31054	0	50
2000.08.13	1.50220	1.51430	1.48750	1.49000	34712	0	50
2000.08.20	1.49020	1.49360	1.46890	1.46930	34514	0	50
2000.08.27	1.47080	1.47370	1.44190	1.46380	34205	0	50
2000.09.03	1.46270	1.46600	1.41370	1.41390	36849	0	50
2000.09.10	1.41400	1.42310	1.39500	1.39730	38701	0	50
2000.09.17	1.39870	1.47580	1.39590	1.45320	37191	0	50
2000.09.24	1.45720	1.48020	1.45000	1.47610	37602	0	50
2000.10.01	1.47640	1.47790	1.44220	1.44560	34956	0	50
2000.10.08	1.44690	1.48040	1.44540	1.45200	35345	0	50
2000.10.15	1.45180	1.46160	1.43420	1.45150	40572	0	50
2000.10.22	1.45280	1.45810	1.41910	1.45530	41564	0	50
2000.10.29	1.45430	1.46760	1.43940	1.45040	44876	0	50
2000.11.05	1.44940	1.45200	1.41290	1.42590	45423	0	50
2000.11.12	1.42650	1.44280	1.41970	1.42230	41179	0	50
2000.11.19	1.42240	1.42960	1.39570	1.39990	39225	0	50
2000.11.26	1.40080	1.44510	1.40010	1.44190	44597	0	50
2000.12.03	1.43950	1.45560	1.43080	1.45170	48898	0	50
2000.12.10	1.44620	1.47810	1.44290	1.47570	46953	0	50
2000.12.17	1.47360	1.48420	1.46060	1.47690	49014	0	50
2000.12.24	1.47700	1.49830	1.47400	1.49290	34508	0	50
2000.12.31	1.49310	1.50980	1.48820	1.50410	39730	0	50
2001.01.07	1.50360	1.51060	1.47550	1.47730	45035	0	50
2001.01.14	1.47840	1.48080	1.46260	1.46290	46913	0	50
2001.01.21	1.46370	1.47440	1.44630	1.46150	49468	0	50
2001.01.28	1.46120	1.48380	1.45530	1.46890	45592	0	50
2001.02.04	1.46900	1.47850	1.43720	1.44460	46508	0	50
2001.02.11	1.44550	1.46140	1.44400	1.44870	44677	0	50
2001.02.18	1.44740	1.45580	1.43100	1.45510	44873	0	50
2001.02.25	1.45350	1.47630	1.43880	1.46780	46468	0	50
2001.03.04	1.46960	1.47520	1.45740	1.46940	44764	0	50
2001.03.11	1.46720	1.46990	1.42510	1.43260	52670	0	50
2001.03.18	1.43110	1.43950	1.41790	1.42510	46528	0	50
2001.03.25	1.42760	1.44270	1.41510	1.41630	48640	0	50
2001.04.01	1.41440	1.44130	1.41380	1.43980	45718	0	50
2001.04.08	1.44080	1.45020	1.42700	1.43720	38082	0	50
2001.04.15	1.43700	1.44880	1.41850	1.44120	39707	0	50
2001.04.22	1.44210	1.44780	1.43090	1.43860	45014	0	50
2001.04.29	1.43500	1.44530	1.42640	1.43930	37851	0	50
2001.05.06	1.43760	1.44170	1.41310	1.41900	41214	0	50
2001.05.13	1.41940	1.44060	1.41540	1.43950	41131	0	50
